,game_name,song_name,is_4/4,time_signature_count,valid_tracks,unique_valid_tracks
0,4 Nin Shogi (Japan),Menu.mid,True,1,4,3
1,4 Nin Shogi (Japan),Rules.mid,True,1,2,2
2,7th Saga,7thsaga_bt1.mid,True,1,4,4
3,7th Saga,7sbattle1.mid,True,0,8,5
4,7th Saga,7sbattle2.mid,True,0,7,5
5,7th Saga,7thsaga_bt2_w.mid,True,1,5,4
6,7th Saga,7thsaga_bt2.mid,True,1,3,3
7,7th Saga,7thsaga_town3-1.mid,True,1,2,2
8,7th Saga,7sboss.mid,True,0,7,4
9,7th Saga,7scave.mid,True,0,4,3
10,7th Saga,7thsaga_cave.mid,True,1,5,3
11,7th Saga,JILost_-_SNES_-_7th_Saga_-_Church.mid,False,1,0,0
12,7th Saga,7church.mid,False,1,3,1
13,7th Saga,7batldun.mid,True,1,7,4
14,7th Saga,7sdunbat2.mid,True,1,9,5
15,7th Saga,7thsaga_dbt_w.mid,True,1,5,5
16,7th Saga,7thsaga_dbt.mid,True,1,4,3
17,7th Saga,7thSaga.mid,False,2,6,4
18,7th Saga,town2.mid,True,1,3,3
19,7th Saga,7thsaga_guntz.mid,True,1,1,1
20,7th Saga,7inn.mid,True,1,5,2
21,7th Saga,7scastle.mid,True,0,5,3
22,7th Saga,7thsaga_town1.mid,True,1,2,2
23,7th Saga,7thsaga_melenam.mid,True,1,4,2
24,7th Saga,7rablesk.mid,False,2,2,2
25,7th Saga,7thsaga_town2.mid,True,1,2,2
26,7th Saga,7shop.mid,True,1,0,0
27,7th Saga,7victory.mid,True,1,4,3
28,7th Saga,7fountain-sbl.mid,False,2,1,1
29,7th Saga,7thsaga_world1.mid,True,1,2,2
30,7th Saga,7thsaga_world2.mid,False,1,1,1
31,7th Saga,7thsaga_world3.mid,False,1,3,2
32,7th Saga,7thsaga_world4.mid,False,1,0,0
33,90 Minutes  European Prime Goal,BL_jlspg3_halftime.mid,True,1,2,2
34,90 Minutes  European Prime Goal,BL_jlspg3_yourehero.mid,False,2,4,3
35,ActRaiser,Bloodpool.mid,True,1,8,3
36,ActRaiser,Action.mid,True,1,10,3
37,ActRaiser,actr1bl1.mid,True,1,8,4
38,ActRaiser,Bloodpool-1.mid,False,2,8,4
39,ActRaiser,Actraiser_Bloodpool.mid,False,3,9,4
40,ActRaiser,actraiser_boss_battle_1.mid,True,1,28,4
41,ActRaiser,Actraiser_BattleTheme.mid,True,1,8,4
42,ActRaiser,actraiser_boss_battle_2.mid,True,1,27,4
43,ActRaiser,FierceBattle.mid,True,1,15,4
44,ActRaiser,AR_Kyouteki_Xg.mid,True,1,12,4
45,ActRaiser,actraiser_boss_battle_3.mid,True,1,28,4
46,ActRaiser,Actbattle.mid,True,1,10,4
47,ActRaiser,Descent.mid,True,1,7,3
48,ActRaiser,actend1.mid,True,1,9,3
49,ActRaiser,Actraiser_EndingStory.mid,False,2,8,3
50,ActRaiser,actcred.mid,True,1,11,4
51,ActRaiser,actrstg1.mid,False,1,3,3
52,ActRaiser,actraiser_forest.mid,True,1,12,2
53,ActRaiser,actr1fil.mid,True,1,4,4
54,ActRaiser,Fillmore.mid,True,1,5,2
55,ActRaiser,Actraiser.mid,True,1,2,2
56,ActRaiser,Actraiser_Fillmore.mid,False,2,6,4
57,ActRaiser,Kasandora.mid,False,1,6,1
58,ActRaiser,actrblst.mid,False,1,8,2
59,ActRaiser,actraiser_psalm.mid,True,1,16,2
60,ActRaiser,actraiser_great_tree.mid,True,1,15,4
61,ActRaiser,Northwall2.mid,False,9,7,4
62,ActRaiser,northwall.mid,True,1,10,2
63,ActRaiser,Northwall1.mid,True,1,6,2
64,ActRaiser,actra_11.mid,False,15,7,3
65,ActRaiser,Northwall4.mid,True,0,3,1
66,ActRaiser,Actraiser_title.mid,True,1,22,4
67,ActRaiser,Actraiserintro.mid,True,1,5,4
68,ActRaiser,Fanfare-2.mid,True,1,8,4
69,ActRaiser,actraiser_cloud_temple.mid,True,1,0,0
70,ActRaiser,Church1.mid,True,1,0,0
71,ActRaiser,actraiser_volcano.mid,True,1,32,4
72,ActRaiser,Aitos.mid,True,1,10,3
73,ActRaiser,Actbop.mid,False,5,4,3
74,ActRaiser,actr1bir.mid,False,3,4,3
75,ActRaiser,actrvil.mid,True,1,2,1
76,ActRaiser,actraisersim2.mid,True,1,4,3
77,ActRaiser,Actmix.mid,False,5,10,4
78,ActRaiser,actraiser_ancient.mid,True,1,20,3
79,ActRaiser,Underworld.mid,True,1,8,3
80,ActRaiser,Actraiser_Ancient_XG.mid,False,4,7,2
81,ActRaiser 2,deathfield.mid,True,0,6,3
82,ActRaiser 2,Ice_Palace_Deception.mid,True,1,6,3
83,ActRaiser 2,Actraiser2-forest.mid,True,1,7,3
84,ActRaiser 2,jrlepage_-_actraiser2_-_industen_greed.mid,True,1,6,3
85,ActRaiser 2,Lovaous.mid,True,0,10,5
86,ActRaiser 2,act2_lovaous.mid,True,0,11,5
87,ActRaiser 2,modero.mid,True,0,4,3
88,ActRaiser 2,towerofsoulsc.mid,True,0,10,3
89,"Addams Family, The",Addamsfm.mid,True,1,3,2
90,"Addams Family, The  Pugsley's Scavenger Hunt",Crystal_Ball.mid,True,1,3,1
91,"Addams Family, The  Pugsley's Scavenger Hunt",AFPSHFreezerByCryogen.mid,True,0,8,4
92,"Addams Family, The  Pugsley's Scavenger Hunt",Main_Room.mid,False,1,4,2
93,"Addams Family, The  Pugsley's Scavenger Hunt",Mansion_Attic.mid,False,24,4,3
94,"Adventures of Batman and Robin, The",stage_3_museum3.mid,True,1,5,2
95,Adventures of Dr. Franken,CBNocturne.mid,True,1,6,4
96,Adventures of Dr. Franken,CBHaunted.mid,True,1,6,3
97,Adventures of Dr. Franken,CBmoonlightv2.mid,True,1,3,1
98,Adventures of Dr. Franken,CBUnderground.mid,True,1,8,3
99,Aero the Acro-Bat,circusact1.mid,True,0,6,4
100,Aero the Acro-Bat,Aero_-_Unused1.mid,True,0,6,2
101,Aero the Acro-Bat,aeroe.mid,True,1,1,1
102,Aerobiz Supersonic,Aerobiz_Supersonic_Europe.mid,True,1,2,2
103,Aerobiz Supersonic,AerobizSupersonic_SoutheastAsia.mid,True,0,3,2
104,Aerobiz Supersonic,South_East_Asia_Theme.mid,True,1,1,1
105,Aerobiz Supersonic,snesaerobiz2-title.mid,True,0,0,0
106,Akazukin ChaCha (Japan),SNESChaChaTitle.mid,True,1,7,5
107,Aladdin,alad26.mid,True,0,5,3
108,Aladdin,alad18.mid,True,0,7,3
109,Aladdin,alad12.mid,True,0,4,3
110,Aladdin,alad23.mid,True,0,4,3
111,Aladdin,finaljafar.mid,True,0,6,3
112,Aladdin,alad19.mid,True,0,7,4
113,Aladdin,alad28.mid,True,0,4,2
114,Aladdin,alad04.mid,True,0,5,3
115,Aladdin,alad30.mid,True,0,5,2
116,Aladdin,alad06.mid,True,0,6,3
117,Aladdin,alad07.mid,True,0,8,4
118,Aladdin,alad08.mid,True,0,7,4
119,Aladdin,alad09.mid,True,0,5,3
120,Aladdin,alad10.mid,True,0,4,3
121,Aladdin,alad11.mid,True,0,8,4
122,Aladdin,alad24.mid,True,0,8,4
123,Albert Odyssey (Japan),ao1_holyking.mid,False,1,2,1
124,Albert Odyssey (Japan),ao1_blaze.mid,True,1,4,3
125,Albert Odyssey (Japan),ao1_roar.mid,True,1,6,3
126,Albert Odyssey (Japan),ao1_hero.mid,True,1,9,3
127,Albert Odyssey 2 (Japan),ao2_frozen.mid,True,1,6,4
128,Albert Odyssey 2 (Japan),ao2_ode.mid,False,3,9,3
129,Albert Odyssey 2 (Japan),ao2_with-hero.mid,True,1,9,3
130,Albert Odyssey 2 (Japan),ao2_wondering.mid,False,5,9,3
131,Albert Odyssey 2 (Japan),ao2_enmity.mid,True,1,9,4
132,Alcahest (Japan),Alcahest_Track13.mid,True,0,9,4
133,Alcahest (Japan),BL_alca_castle.mid,False,1,5,3
134,Alcahest (Japan),Alcahest_-_Floor.mid,True,0,8,4
135,Alcahest (Japan),Alcahest_-_TitleScreen.mid,True,0,8,2
136,Alfred Chicken,Bonus_Round.mid,True,1,2,2
137,Alien 3,mission3.mid,True,1,5,2
138,Alien 3,theterminalmusic.mid,True,1,4,2
139,Alien 3,mission2v2.mid,True,1,5,2
140,Alien 3,prisonermission.mid,True,1,3,2
141,Alien 3,queenalien.mid,True,1,4,2
142,Alien 3,mission4.mid,True,1,4,2
143,Alien Vs. Predator,avp.mid,True,1,5,4
144,Alien Vs. Predator,avp-stage4.mid,True,1,4,4
